show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s10,Movie,"The Starling","Theodore Melfi","Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor","United States",24-Sep-21,2021,PG-13,"104 min","Comedies, Dramas","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden ? and a husband who's struggling to find a way forward."
s1000,Movie,Stowaway,"Joe Penna","Anna Kendrick, Toni Collette, Daniel Dae Kim, Shamier Anderson","Germany, United States",22-Apr-21,2021,TV-MA,"116 min","Dramas, International Movies, Thrillers","A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board."
s1002,Movie,Oloibiri,"Curtis Graham","Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon","Canada, Nigeria, United States",21-Apr-21,2015,TV-14,"86 min","Dramas, International Movies, Thrillers","After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community."
s1003,Movie,"Tell Me When","Gerardo Gatica","Jesus Zavala, Ximena Romo, Veronica Castro, Jose Carlos Ruiz, Gabriel Nuncio, Rosa Maria Bianchi, Hector Bonilla, Andres Almeida",Mexico,21-Apr-21,2021,TV-MA,"97 min","Comedies, International Movies","Workaholic Will puts his humdrum life in LA on hold to fulfill his grandpa's last wish: visiting Mexico City's most iconic sights and falling in love."
s1014,Movie,"Miss Sloane","John Madden","Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, Raoul Bhaneja, John Lithgow, Sam Waterston, Chuck Shamata, Jake Lacy, Alison Pill, David Wilson Barnes","France, United States, United Kingdom, Canada",19-Apr-21,2016,R,"132 min",Thrillers,"A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career."
s1016,Movie,"American Me","Edward James Olmos","Edward James Olmos, William Forsythe, Pepe Serna, Danny De La Paz, Evelina Fernandez, Cary-Hiroyuki Tagawa, Daniel Villarreal, Sal Lopez, Daniel Haro, Domingo Ambriz","United States",17-Apr-21,1992,R,"126 min",Dramas,"Three friends born in poverty create their own capitalist dream as powerful gang members. Time in prison makes one of them consider a fresh beginning."
s1017,Movie,"Delhi Belly","Abhinay Deo","Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasury, Vijay Raaz, Paresh Ganatra, Rahul Singh",India,17-Apr-21,2011,TV-MA,"101 min","Action & Adventure, Comedies, International Movies","Three flatmates get involved in the shady business belonging to one roomie's fiance, and discover that a global crime syndicate is gunning for them."
s1018,Movie,"Dhobi Ghat (Mumbai Diaries)","Kiran Rao","Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Husain, Jehan Manekshaw",India,17-Apr-21,2010,TV-MA,"102 min","Dramas, International Movies","In this intimate drama, circumstances draw together four people from different castes ? which would normally preclude them from forming friendships."
s1019,Movie,"Jaane Tu... Ya Jaane Na","Abbas Tyrewala","Imran Khan, Genelia D'Souza, Manjari Fadnis, Ayaz Khan, Prateik Babbar, Ratna Pathak Shah, Arbaaz Khan, Sohail Khan",India,17-Apr-21,2008,TV-14,"147 min","Comedies, International Movies, Music & Musicals","Soft-spoken Jai and spitfire beauty Aditi couldn't be more different ? but their family and friends know that they're a perfect match."
s1020,Movie,Lagaan,"Ashutosh Gowariker","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Kulbhushan Kharbanda, Raghuvir Yadav, Yashpal Sharma, Rajendranath Zutshi, Rajesh Vivek, Aditya Lakhia","India, United Kingdom",17-Apr-21,2001,PG,"224 min","Dramas, International Movies, Music & Musicals","In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match."
s1021,Movie,"Madness in the Desert","Satyajit Bhatkal","Aamir Khan, Ashutosh Gowariker",India,17-Apr-21,2004,TV-14,"141 min","Documentaries, International Movies","The story of making "Lagaan"
s1022,Movie,"Peepli Live","Anusha Rizvi, Mahmood Farooqui","Omkar Das Manikpuri, Raghuvir Yadav, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah, Sitaram Panchal, Shalini Vatsa, Farrukh Jaffar, Aamir Bashir, Vishal Om Prakash",India,17-Apr-21,2010,TV-MA,"109 min","Comedies, Dramas, Independent Movies","Two indigent farmers consider suicide so that their families can collect a government subsidy that's paid to the relatives of deceased farmers."
s1023,Movie,"Taare Zameen Par","Aamir Khan","Aamir Khan, Darsheel Safary, Tanay Chheda, Tisca Chopra, Vipin Sharma, Girija Oak, M.K. Raina",India,17-Apr-21,2007,PG,"162 min","Dramas, International Movies","When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity."
