country,COUNT(country)
"United States",2805
India,972
,830
"United Kingdom",419
Japan,245
"South Korea",199
Canada,181
Spain,145
France,123
Mexico,110
Egypt,106
Turkey,105
Nigeria,93
Australia,87
Taiwan,81
Indonesia,79
Brazil,77
Philippines,75
"United Kingdom, United States",75
"United States, Canada",73
Germany,67
China,66
Thailand,61
Argentina,56
"Hong Kong",53
"United States, United Kingdom",46
Italy,45
"Canada, United States",45
Colombia,35
"South Africa",30
"France, Belgium",27
Poland,24
Singapore,23
Malaysia,22
Netherlands,19
Pakistan,18
"United States, Germany",17
"United States, France",16
"United States, Japan",16
"Hong Kong, China",16
Lebanon,15
Russia,15
"United States, Mexico",14
"China, Hong Kong",14
Chile,14
"United Arab Emirates",14
"Germany, United States",13
Sweden,13
"Australia, United States",13
"Mexico, United States",13
Denmark,13
Israel,13
"Japan, United States",12
"New Zealand",12
"United States, Australia",11
Norway,11
"France, United States",10
"India, United States",10
Ireland,10
"United States, India",9
Belgium,9
"United Kingdom, Canada, United States",8
"Saudi Arabia",8
"United States, China",8
"Argentina, Spain",8
Vietnam,7
"United States, France, Japan",7
Kuwait,6
Romania,6
"South Korea, United States",6
"United Kingdom, France",6
"Israel, United States",5
"India, France",5
Iceland,5
"United States, Italy",5
Austria,5
"Spain, France",5
"Italy, France",5
"United States, Czech Republic",5
"United States, New Zealand",5
"United States, United Kingdom, France",4
"Canada, United States, United Kingdom",4
"South Africa, United States",4
"Hong Kong, United States",4
"United States, Russia",4
"Italy, United States",4
"Mexico, Spain",4
"United States, Bulgaria",4
"Poland, United States",4
Hungary,4
"United Kingdom, France, United States",4
"United States, Spain",4
"United Kingdom, Canada",4
Peru,4
"United Kingdom, Germany",4
"United States, United Kingdom, Australia",4
"United Kingdom, United States, Spain, Germany, Greece, Canada",4
"China, United Kingdom",3
Kenya,3
"Spain, Argentina",3
"Belgium, France",3
"United States, Colombia",3
Uruguay,3
Bangladesh,3
"United Kingdom, United States, Australia",3
"United Kingdom, Ireland",3
"France, Canada",3
"Denmark, United States",3
Ghana,3
"United States, Germany, Canada",3
"France, Egypt",3
"United States, Chile",3
"United Kingdom, Japan, United States",3
"Bulgaria, United States",3
"Sweden, United States",3
"China, Canada, United States",3
"United States, Sweden",3
"United States, South Africa",3
"United States, United Arab Emirates",3
"United States, Ireland",3
"United States, Hong Kong",3
"India, United Kingdom",2
"United Kingdom, Germany, United States",2
"China, Taiwan",2
"United Kingdom, United States, France",2
"United Kingdom,",2
"Argentina, Chile",2
"United States, Thailand",2
"Germany, Czech Republic",2
