netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"Dick Johnson Is Dead";Movie;Documentaries;PG-13;"United States";25-Sep-21;2020;"90 min"
"The Starling";Movie;"Comedies, Dramas";PG-13;"United States";24-Sep-21;2021;"104 min"
"Free to Play";Movie;Documentaries;TV-14;"United States";19-Apr-21;2014;"76 min"
"American Me";Movie;Dramas;R;"United States";17-Apr-21;1992;"126 min"
"Untold: Breaking Point";Movie;"Documentaries, Sports Movies";TV-MA;"United States";7-Sep-21;2021;"80 min"
"Arlo the Alligator Boy";Movie;"Children & Family Movies, Comedies, Music & Musicals";TV-Y7;"United States";16-Apr-21;2021;"93 min"
"Barbie & Chelsea: The Lost Birthday";Movie;"Children & Family Movies";TV-Y;"United States";16-Apr-21;2021;"60 min"
"Doctor Bello";Movie;"Dramas, International Movies";TV-MA;"United States";16-Apr-21;2013;"96 min"
Synchronic;Movie;Thrillers;R;"United States";16-Apr-21;2020;"102 min"
"Time Trap";Movie;"Action & Adventure, Sci-Fi & Fantasy";TV-14;"United States";16-Apr-21;2017;"88 min"
"Dark City Beneath the Beat";Movie;"Documentaries, Music & Musicals";TV-MA;"United States";15-Apr-21;2020;"65 min"
"Garth Brooks: The Road I?m On";"TV Show";Docuseries;TV-PG;"United States";15-Apr-21;2019;"1 Season"
"Gilmore Girls";"TV Show";"Romantic TV Shows, TV Comedies, TV Dramas";TV-14;"United States";15-Apr-21;2006;"7 Seasons"
"Next in Fashion";"TV Show";"Reality TV";TV-14;"United States";15-Apr-21;2020;"1 Season"
"Only Mine";Movie;Thrillers;TV-14;"United States";15-Apr-21;2019;"88 min"
"The Master";Movie;"Dramas, Independent Movies";R;"United States";15-Apr-21;2012;"137 min"
"Time Is Illmatic";Movie;"Documentaries, Music & Musicals";TV-MA;"United States";15-Apr-21;2014;"75 min"
"Zoot Suit";Movie;"Cult Movies, Dramas, Music & Musicals";R;"United States";15-Apr-21;1981;"103 min"
"Dad Stop Embarrassing Me!";"TV Show";"TV Comedies";TV-14;"United States";14-Apr-21;2021;"1 Season"
"House of Cards";"TV Show";"TV Dramas, TV Thrillers";TV-MA;"United States";14-Apr-21;2018;"6 Seasons"
"Jeffrey Epstein: Filthy Rich";"TV Show";"Crime TV Shows, Docuseries";TV-MA;"United States";14-Apr-21;2020;"1 Season"
"Living with Yourself";"TV Show";"TV Comedies, TV Dramas";TV-MA;"United States";14-Apr-21;2019;"1 Season"
"Unnatural Selection";"TV Show";"Docuseries, Science & Nature TV";TV-MA;"United States";14-Apr-21;2019;"1 Season"
Bunk'd;"TV Show";"Kids' TV, TV Comedies";TV-G;"United States";5-Sep-21;2021;"5 Seasons"
"Why Did You Kill Me?";Movie;Documentaries;TV-MA;"United States";14-Apr-21;2021;"84 min"
"A Champion Heart";Movie;"Children & Family Movies, Dramas";G;"United States";4-Sep-21;2018;"90 min"
"Nicky, Ricky, Dicky & Dawn";"TV Show";"Kids' TV, TV Comedies";TV-G;"United States";12-Apr-21;2018;"4 Seasons"
"The Stand-In";Movie;Comedies;R;"United States";10-Apr-21;2020;"102 min"
"Thunder Force";Movie;"Action & Adventure, Comedies";PG-13;"United States";9-Apr-21;2021;"107 min"
"Two Distant Strangers";Movie;Dramas;TV-MA;"United States";9-Apr-21;2021;"32 min"
"What Lies Below";Movie;"Horror Movies, Thrillers";TV-MA;"United States";4-Apr-21;2020;"88 min"
Accepted;Movie;Comedies;PG-13;"United States";2-Apr-21;2006;"93 min"
"Cross: Rise of the Villains";Movie;"Action & Adventure";R;"United States";2-Apr-21;2019;"100 min"
"Woody Woodpecker";Movie;"Children & Family Movies, Comedies";PG;"United States";2-Apr-21;2017;"91 min"
2012;Movie;"Action & Adventure, Sci-Fi & Fantasy";PG-13;"United States";1-Apr-21;2009;"158 min"
"Legally Blonde";Movie;"Comedies, Romantic Movies";PG-13;"United States";1-Apr-21;2001;"96 min"
"Maximum Risk";Movie;"Action & Adventure";R;"United States";1-Apr-21;1996;"101 min"
"My Fair Lady";Movie;"Classic Movies, Music & Musicals";G;"United States";1-Apr-21;1964;"173 min"
"Prank Encounters";"TV Show";"Reality TV, TV Comedies, TV Horror";TV-MA;"United States";1-Apr-21;2021;"2 Seasons"
"S.W.A.T.: Under Siege";Movie;"Action & Adventure, International Movies";R;"United States";1-Apr-21;2017;"89 min"
"Sniper: Ghost Shooter";Movie;"Action & Adventure";R;"United States";1-Apr-21;2016;"99 min"
Takers;Movie;"Action & Adventure";PG-13;"United States";1-Apr-21;2010;"107 min"
"The Stepfather";Movie;"Horror Movies, Thrillers";PG-13;"United States";1-Apr-21;2009;"102 min"
"Universal Soldier: The Return";Movie;"Action & Adventure";R;"United States";1-Apr-21;1999;"83 min"
"White Boy";Movie;Documentaries;TV-MA;"United States";1-Apr-21;2017;"83 min"
"Worn Stories";"TV Show";"Docuseries, Reality TV";TV-MA;"United States";1-Apr-21;2021;"1 Season"
