show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,"Dick Johnson Is Dead","Kirsten Johnson",,"United States",25-Sep-21,2020,PG-13,"90 min",Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s10,Movie,"The Starling","Theodore Melfi","Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor","United States",24-Sep-21,2021,PG-13,"104 min","Comedies, Dramas","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden ? and a husband who's struggling to find a way forward."
s100,"TV Show","On the Verge",,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",7-Sep-21,2021,TV-MA,"1 Season","TV Comedies, TV Dramas","Four women ? a chef, a single mom, an heiress and a job seeker ? dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
s1000,Movie,Stowaway,"Joe Penna","Anna Kendrick, Toni Collette, Daniel Dae Kim, Shamier Anderson","Germany, United States",22-Apr-21,2021,TV-MA,"116 min","Dramas, International Movies, Thrillers","A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board."
s1001,Movie,"Wild Dog","Ahishor Solomon","Nagarjuna Akkineni, Dia Mirza, Saiyami Kher, Atul Kulakarni, Bilal Hussain, Ali Reza, Mayank Parakh",,22-Apr-21,2020,TV-MA,"126 min","Action & Adventure, International Movies","A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security."
s1002,Movie,Oloibiri,"Curtis Graham","Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon","Canada, Nigeria, United States",21-Apr-21,2015,TV-14,"86 min","Dramas, International Movies, Thrillers","After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community."
s1003,Movie,"Tell Me When","Gerardo Gatica","Jesus Zavala, Ximena Romo, Veronica Castro, Jose Carlos Ruiz, Gabriel Nuncio, Rosa Maria Bianchi, Hector Bonilla, Andres Almeida",Mexico,21-Apr-21,2021,TV-MA,"97 min","Comedies, International Movies","Workaholic Will puts his humdrum life in LA on hold to fulfill his grandpa's last wish: visiting Mexico City's most iconic sights and falling in love."
s1004,"TV Show",Zero,,"Giuseppe Dave Seke, Haroun Fall, Beatrice Granno, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,21-Apr-21,2021,TV-MA,"1 Season","International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."
s1005,"TV Show","Izzy's Koala World",,"Izzy Bee, Ali Bee, Tim Bee",Australia,20-Apr-21,2021,TV-Y,"2 Seasons","Kids' TV","Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia?s Magnetic Island."
s1006,Movie,"Keymon and Nani in Space Adventure",,,,20-Apr-21,2013,TV-Y,"76 min","Children & Family Movies, Comedies","For Rohan and his magical pal, Keymon, a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!"
