listed_in,COUNT(listed_in)
"Kids' TV",77
"Reality TV",70
Docuseries,61
"TV Comedies",60
"Kids' TV, TV Comedies",42
"Crime TV Shows, Docuseries",41
"TV Dramas",27
"TV Comedies, TV Dramas",26
"Docuseries, Science & Nature TV",26
"Stand-Up Comedy & Talk Shows, TV Comedies",24
"Docuseries, Reality TV",14
"Crime TV Shows, TV Dramas, TV Mysteries",13
"Crime TV Shows, TV Dramas",13
"Romantic TV Shows, TV Comedies, TV Dramas",8
"Romantic TV Shows, TV Dramas",8
"TV Action & Adventure, TV Sci-Fi & Fantasy",8
"Crime TV Shows, TV Action & Adventure, TV Dramas",8
"Crime TV Shows, TV Comedies, TV Dramas",7
"Crime TV Shows, TV Dramas, TV Thrillers",7
"TV Comedies, TV Dramas, Teen TV Shows",7
"TV Comedies, Teen TV Shows",6
"Stand-Up Comedy & Talk Shows",6
"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",6
"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",6
"TV Dramas, TV Thrillers",5
"Reality TV, Romantic TV Shows",5
"TV Dramas, Teen TV Shows",5
"TV Dramas, TV Horror, TV Mysteries",5
"Kids' TV, TV Action & Adventure, TV Comedies",5
"Crime TV Shows, TV Action & Adventure, TV Comedies",4
"Docuseries, Reality TV, Science & Nature TV",4
"TV Shows",4
"TV Action & Adventure, TV Dramas",4
"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",4
"Romantic TV Shows, TV Comedies",4
"Classic & Cult TV, TV Comedies",4
"Anime Series",3
"Docuseries, International TV Shows",3
"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",3
"TV Horror, TV Mysteries, TV Thrillers",3
"Reality TV, TV Comedies",3
"Crime TV Shows, Docuseries, International TV Shows",3
"TV Action & Adventure, TV Comedies, TV Horror",3
"International TV Shows, Reality TV, Spanish-Language TV Shows",3
"International TV Shows, Spanish-Language TV Shows, TV Comedies",3
"Reality TV, TV Comedies, TV Horror",2
"TV Horror, Teen TV Shows",2
"Romantic TV Shows, TV Dramas, Teen TV Shows",2
